Best_Parent,Worst_Parent,Child_Cost,Status
336.9838486535423,426.75568880179696,313.2937354677104,Synergy (Better than both)
337.67810274897073,1804.0670833908637,923.1120987474546,Interpolation (In between)
338.03100715431833,430.39793572671783,409.8111541575951,Interpolation (In between)
338.3715551157137,584.0538914876336,419.7678601050891,Interpolation (In between)
338.9281186159084,815.1050637228524,607.6205135184616,Interpolation (In between)
339.11918121224636,1804.0670833908637,866.3705130019312,Interpolation (In between)
339.5260664381997,441.1670413642667,386.21931313803765,Interpolation (In between)
339.74294497065114,565.270684357723,366.2339948106355,Interpolation (In between)
339.81447129838443,552.6419419583101,303.4640990568238,Synergy (Better than both)
339.8981942586931,490.0525033493318,447.46013154030044,Interpolation (In between)
340.50783731691865,483.83711047639804,354.2467526760838,Interpolation (In between)
341.20942788316205,541.9754972590418,478.45455580684757,Interpolation (In between)
341.4230321940448,1804.0670833908637,820.1510884375589,Interpolation (In between)
341.9510370564225,652.1232041437245,546.2733595578176,Interpolation (In between)
341.9669487370526,352.5312337709304,353.9991048397136,Destructive (Worse than both)
342.2390523607103,658.9844224975468,485.9234061244057,Interpolation (In between)
342.2468157939028,520.4828677881729,515.4101917579469,Interpolation (In between)
342.6044627686295,392.27945153979994,352.23952637375913,Interpolation (In between)
342.894084351438,1804.0670833908637,827.2991132372358,Interpolation (In between)
342.92778390579326,448.81320048472253,546.8043524754225,Destructive (Worse than both)
344.1588347904217,676.3961464708677,391.4772102381655,Interpolation (In between)
344.8407371089704,1804.0670833908637,952.4126254668208,Interpolation (In between)
344.8761610891872,1804.0670833908637,917.3683512669222,Interpolation (In between)
345.5436337060886,1804.0670833908637,888.9808378302275,Interpolation (In between)
346.4451291559296,471.5544377164616,382.874044715837,Interpolation (In between)
346.8770601428164,1804.0670833908637,900.9691208398101,Interpolation (In between)
346.88669812386735,922.0760427925665,631.0719030209304,Interpolation (In between)
347.49230808666744,1804.0670833908637,971.0382069238894,Interpolation (In between)
347.6694533124182,438.7396961255781,386.53976378492166,Interpolation (In between)
347.84096983389156,687.5363753341823,565.6517743928225,Interpolation (In between)
347.8842832512508,1804.0670833908637,871.8579836831788,Interpolation (In between)
347.90688309353783,474.36583244227955,526.6676930278484,Destructive (Worse than both)
347.93546998545855,523.6048977529747,391.6733288462843,Interpolation (In between)
348.1147678658595,1804.0670833908637,920.7427727031343,Interpolation (In between)
348.32139680836224,402.3517143691412,362.2030668601234,Interpolation (In between)
348.85841256189303,1066.280076183337,703.9448293064553,Interpolation (In between)
349.011723209757,610.2260178419281,569.2983608649504,Interpolation (In between)
349.51526326769175,1804.0670833908637,948.875906438673,Interpolation (In between)
349.68574806488766,1804.0670833908637,932.686397014247,Interpolation (In between)
350.16846256844815,1804.0670833908637,829.4029264069643,Interpolation (In between)
350.8137969350334,432.0943560205161,439.1802289383571,Destructive (Worse than both)
350.9380229749215,414.92522160869134,374.32741768782546,Interpolation (In between)
351.0468182496062,1804.0670833908637,938.0436048693371,Interpolation (In between)
351.38079548352647,554.4061975091603,577.8298086675825,Destructive (Worse than both)
351.6930667490275,1804.0670833908637,872.5702856340274,Interpolation (In between)
352.2246389116941,835.3673988331401,329.93255896243124,Synergy (Better than both)
352.61390533378994,1804.0670833908637,881.4347605024095,Interpolation (In between)
352.67818874213464,1804.0670833908637,899.099223436797,Interpolation (In between)
353.16062763218576,662.2351457657808,505.76637760051585,Interpolation (In between)
353.2955778322628,500.41860241450644,458.71763423325274,Interpolation (In between)
353.82986796964366,571.5339918076622,614.7263299795238,Destructive (Worse than both)
353.92534061911897,901.1219466353793,646.4084574268205,Interpolation (In between)
354.78029361076347,469.6324821876383,383.97769612306354,Interpolation (In between)
355.0102322367991,724.4812971849744,641.5732491514675,Interpolation (In between)
355.750229065512,1804.0670833908637,933.3526869539271,Interpolation (In between)
356.8167429288815,902.5738515563389,442.7335229663611,Interpolation (In between)
357.2498259090295,434.19116037603146,390.0829866717629,Interpolation (In between)
357.6925707125253,428.22367116259335,376.4482513542962,Interpolation (In between)
