route_count,total_fleet,sample_size,route_index,route_id,allocation_mean,allocation_std,allocation_cv,demand_mean,demand_std,demand_cv
16,160,150,6,R006,5.00000000,1.15470054,0.23094011,1263.14285714,607.22467796,0.48072526
16,160,150,7,R007,6.57142857,1.71824939,0.26147273,2203.00000000,1077.28764342,0.48900937
16,160,150,8,R008,5.57142857,1.71824939,0.30840374,1585.00000000,954.38322142,0.60213452
16,160,150,9,R009,13.00000000,1.15470054,0.08882312,8383.00000000,1698.15704024,0.20257152
16,160,150,10,R010,14.85714286,1.34518542,0.09054133,10485.00000000,1927.47900983,0.18383205
16,160,150,11,R011,10.14285714,0.89973541,0.08870631,4950.71428571,1235.21964501,0.24950332
16,160,150,12,R012,11.28571429,1.60356745,0.14208826,6311.71428571,1486.41904301,0.23550164
16,160,150,13,R013,8.42857143,1.90237946,0.22570604,3447.57142857,1334.48265346,0.38707904
16,160,150,14,R014,13.00000000,2.44948974,0.18842229,8335.85714286,2936.46388414,0.35226898
16,160,150,15,R015,12.42857143,1.13389342,0.09123280,7420.14285714,1292.60466096,0.17420213
16,160,200,0,R000,22.14285714,2.11570094,0.09554778,31143.71428571,5165.59256731,0.16586309
16,160,200,1,R001,6.14285714,2.19306266,0.35701020,2669.71428571,1986.91844442,0.74424385
16,160,200,2,R002,13.14285714,1.46385011,0.11137990,11137.14285714,2635.51623207,0.23664204
16,160,200,3,R003,4.85714286,1.21498579,0.25014413,1659.42857143,659.73576962,0.39756804
16,160,200,4,R004,13.00000000,2.08166600,0.16012815,10927.85714286,3250.62268028,0.29746204
16,160,200,5,R005,2.00000000,1.00000000,0.50000000,296.00000000,258.16532171,0.87218014
16,160,200,6,R006,5.14285714,1.21498579,0.23624724,1810.85714286,695.20894427,0.38391153
16,160,200,7,R007,6.42857143,1.13389342,0.17638342,2576.71428571,747.83213675,0.29022703
16,160,200,8,R008,3.57142857,2.14919697,0.60177515,1116.85714286,1040.93858746,0.93202483
16,160,200,9,R009,12.57142857,0.78679579,0.06258603,9921.85714286,1300.18145254,0.13104215
16,160,200,10,R010,15.85714286,1.46385011,0.09231487,15774.57142857,2477.81636777,0.15707662
16,160,200,11,R011,10.85714286,2.67261242,0.24616167,7879.42857143,3813.14641983,0.48393692
16,160,200,12,R012,11.14285714,2.47847880,0.22242758,7837.14285714,3109.22645410,0.39672959
16,160,200,13,R013,6.71428571,2.62769136,0.39135829,3106.71428571,1543.45971919,0.49681418
16,160,200,14,R014,14.28571429,1.49602648,0.10472185,13023.28571429,3234.38946914,0.24835434
16,160,200,15,R015,12.14285714,1.77281052,0.14599616,9544.85714286,3356.15491441,0.35161919
16,160,250,0,R000,21.57142857,0.97590007,0.04524040,38612.28571429,2896.35286261,0.07501117
16,160,250,1,R001,5.85714286,1.06904497,0.18251987,2888.28571429,862.26614497,0.29853907
16,160,250,2,R002,12.71428571,0.95118973,0.07481268,13569.85714286,2026.88417927,0.14936666
16,160,250,3,R003,5.28571429,0.95118973,0.17995481,2407.57142857,959.27626489,0.39844146
16,160,250,4,R004,12.00000000,1.15470054,0.09622504,11837.28571429,2207.06378961,0.18645016
16,160,250,5,R005,2.14285714,0.69006556,0.32203059,497.42857143,220.31406154,0.44290592
16,160,250,6,R006,5.71428571,0.75592895,0.13228757,2679.57142857,846.52325370,0.31591741
16,160,250,7,R007,7.57142857,0.53452248,0.07059731,4524.85714286,745.95317739,0.16485674
16,160,250,8,R008,4.14285714,1.86445447,0.45004073,1551.28571429,1315.58652500,0.84806204
16,160,250,9,R009,12.00000000,0.57735027,0.04811252,12165.85714286,1592.81892971,0.13092534
16,160,250,10,R010,14.71428571,0.95118973,0.06464396,18243.42857143,1568.99892258,0.08600351
16,160,250,11,R011,11.28571429,1.88982237,0.16745261,10839.71428571,3152.57914066,0.29083600
16,160,250,12,R012,11.85714286,0.69006556,0.05819830,11329.14285714,1551.69825552,0.13696519
16,160,250,13,R013,7.14285714,0.69006556,0.09660918,4263.28571429,1031.90224251,0.24204389
16,160,250,14,R014,13.42857143,1.13389342,0.08443887,15487.28571429,2598.21327802,0.16776428
16,160,250,15,R015,12.57142857,0.97590007,0.07762841,13055.42857143,1672.13933402,0.12808000
16,160,300,0,R000,22.28571429,1.11269728,0.04992872,46974.00000000,3590.93854955,0.07644524
16,160,300,1,R001,5.57142857,0.97590007,0.17516155,3072.28571429,1055.48878318,0.34355164
16,160,300,2,R002,13.42857143,0.53452248,0.03980487,17010.71428571,2031.80533141,0.11944268
16,160,300,3,R003,5.28571429,0.75592895,0.14301358,2541.85714286,786.37892235,0.30937180
16,160,300,4,R004,11.71428571,1.38013112,0.11781607,13711.57142857,2844.56674247,0.20745738
16,160,300,5,R005,2.14285714,0.69006556,0.32203059,500.57142857,292.91970296,0.58517064
16,160,300,6,R006,5.00000000,1.15470054,0.23094011,2362.14285714,1040.02923494,0.44029057
16,160,300,7,R007,6.85714286,1.46385011,0.21347814,4517.00000000,1466.93944433,0.32475967
16,160,300,8,R008,4.71428571,2.62769136,0.55738908,2549.71428571,1921.27351118,0.75352502
16,160,300,9,R009,12.71428571,1.25356634,0.09859511,15163.57142857,2659.85261855,0.17541070
16,160,300,10,R010,15.85714286,1.95180015,0.12308650,24693.28571429,5360.34273513,0.21707693
16,160,300,11,R011,10.85714286,1.57359158,0.14493607,11783.14285714,3271.04587905,0.27760385
16,160,300,12,R012,11.00000000,1.00000000,0.09090909,11450.57142857,2050.77642672,0.17909817
16,160,300,13,R013,6.71428571,1.25356634,0.18670137,4317.42857143,1618.50330626,0.37487668
16,160,300,14,R014,13.42857143,2.29906813,0.17120720,17452.28571429,5436.87832352,0.31152815
16,160,300,15,R015,12.42857143,1.39727626,0.11242453,14605.14285714,2621.82381995,0.17951374
16,160,350,0,R000,21.85714286,1.46385011,0.06697353,54723.71428571,5921.50954049,0.10820738
